dataId, x, y, latitude, longitude, zone
7f42bb2ebde8899aa868b14afdce39bc, 552547.18747260, 4182285.39518377, 37.78641468, -122.40322385, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552545.44142675, 4182280.77494609, 37.78637314, -122.40324402, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552537.81384357, 4182276.39554895, 37.78633411, -122.40333096, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552521.17151322, 4182235.83699361, 37.78596952, -122.40352289, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552513.58673924, 4182220.69755629, 37.78583351, -122.40361012, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552510.83598214, 4182210.04409655, 37.78573765, -122.40364213, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552511.16211343, 4182190.46607765, 37.78556118, -122.40363985, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552517.46643353, 4182181.58538422, 37.78548078, -122.40356890, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552525.11184953, 4182174.11661444, 37.78541302, -122.40348262, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552546.01506129, 4182169.59495016, 37.78537107, -122.40324556, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552573.24547099, 4182177.24334204, 37.78543844, -122.40293577, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552612.07940417, 4182213.42441375, 37.78576229, -122.40249214, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552628.53444413, 4182236.23057331, 37.78596689, -122.40230362, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552631.84554798, 4182242.32348823, 37.78602161, -122.40226557, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552634.74878275, 4182260.17594759, 37.78618234, -122.40223131, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552634.67987981, 4182270.54700376, 37.78627582, -122.40223134, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552627.22906573, 4182279.65697206, 37.78635835, -122.40231529, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552624.00761441, 4182282.73489214, 37.78638628, -122.40235165, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552616.41660928, 4182285.74039163, 37.78641381, -122.40243764, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552607.65303250, 4182287.00088484, 37.78642567, -122.40253707, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552597.18830444, 4182290.13292539, 37.78645450, -122.40265568, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552579.17391238, 4182290.20947531, 37.78645623, -122.40286026, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552561.16992092, 4182285.63031274, 37.78641599, -122.40306505, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552549.19360597, 4182280.94477217, 37.78637445, -122.40320140, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552532.52980576, 4182271.85189428, 37.78629346, -122.40339129, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552526.41999092, 4182264.22963801, 37.78622511, -122.40346123, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552521.64794466, 4182256.51554639, 37.78615586, -122.40351598, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552517.39173981, 4182246.16484385, 37.78606282, -122.40356507, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552517.65754519, 4182237.05690328, 37.78598072, -122.40356271, 10S
7f42bb2ebde8899aa868b14afdce39bc, 552515.90712211, 4182228.06963683, 37.78589982, -122.40358324, 10S

206b23f063cac4c2f90eb0c6dac3b0b0, 551738.43697277, 4182153.09033519, 37.78526841, -122.41241779, 10S
206b23f063cac4c2f90eb0c6dac3b0b0, 551707.97770856, 4182127.75676802, 37.78504181, -122.41276550, 10S
206b23f063cac4c2f90eb0c6dac3b0b0, 551690.61904317, 4182092.26588902, 37.78472292, -122.41296516, 10S
206b23f063cac4c2f90eb0c6dac3b0b0, 551688.22397195, 4182079.61074414, 37.78460900, -122.41299326, 10S
