dataId, x, y, latitude, longitude, zone
4950e0101fd1cb753cc4e9dd1a5930df, 549806.15643794, 4179653.34867959, 37.76284611, -122.43453290, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549805.54323817, 4179654.39020683, 37.76285553, -122.43453979, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549798.40798367, 4179657.05549479, 37.76287994, -122.43462062, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549764.78226138, 4179648.04346690, 37.76280055, -122.43500298, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549726.40283883, 4179620.67811660, 37.76255600, -122.43544057, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549701.89388185, 4179590.93542282, 37.76228926, -122.43572086, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549693.89341789, 4179572.46483792, 37.76212323, -122.43581295, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549690.52060528, 4179542.79773298, 37.76185602, -122.43585327, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549690.54684618, 4179533.21209031, 37.76176963, -122.43585363, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549700.11453826, 4179501.57991541, 37.76148401, -122.43574717, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549714.11818669, 4179469.35596604, 37.76119282, -122.43559040, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549724.78471998, 4179438.63958893, 37.76091540, -122.43547141, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549741.63162581, 4179417.89367258, 37.76072751, -122.43528158, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549752.45765432, 4179405.86976409, 37.76061855, -122.43515950, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549767.49260478, 4179396.40555084, 37.76053243, -122.43498947, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549805.13192506, 4179398.41093833, 37.76054846, -122.43456203, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549833.78402698, 4179407.49771452, 37.76062879, -122.43423613, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549875.66014492, 4179428.64033762, 37.76081706, -122.43375928, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549884.04604367, 4179447.17081436, 37.76098362, -122.43366280, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549887.69069990, 4179461.23637666, 37.76111019, -122.43362046, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549890.50879902, 4179474.39603528, 37.76122864, -122.43358756, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549892.00540279, 4179491.75569284, 37.76138502, -122.43356938, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549888.31635399, 4179519.91476282, 37.76163901, -122.43360933, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549874.64379882, 4179558.48609185, 37.76198740, -122.43376190, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549864.17608813, 4179583.06613366, 37.76220950, -122.43387904, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549848.09419592, 4179615.24173141, 37.76250037, -122.43405941, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549833.78796387, 4179639.55207068, 37.76272026, -122.43422016, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549818.17475215, 4179652.43786065, 37.76283725, -122.43439653, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549792.90657597, 4179658.46906259, 37.76289298, -122.43468298, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549737.46789006, 4179650.14204339, 37.76282095, -122.43531294, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549723.37308859, 4179639.37048526, 37.76272463, -122.43547369, 10S
4950e0101fd1cb753cc4e9dd1a5930df, 549704.04413589, 4179599.72097823, 37.76236833, -122.43569584, 10S

15b7eabf000d6cb24b8bc66faa1503e1, 549973.88641840, 4179763.91841955, 37.76383350, -122.43262108, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 549979.57270771, 4179769.29876046, 37.76388168, -122.43255615, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 549985.60732322, 4179774.06305923, 37.76392429, -122.43248731, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 549994.24784086, 4179782.01672275, 37.76399551, -122.43238867, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550015.77076609, 4179800.96363636, 37.76416509, -122.43214301, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550026.50080442, 4179812.18807427, 37.76426567, -122.43202042, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550030.70142351, 4179818.34490657, 37.76432093, -122.43197231, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550033.52487868, 4179823.06387981, 37.76436331, -122.43193993, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550036.84248403, 4179830.11292960, 37.76442666, -122.43190178, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550037.86411341, 4179832.79091606, 37.76445074, -122.43188999, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550043.41013723, 4179841.54489094, 37.76452933, -122.43182642, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550043.70159890, 4179843.45817070, 37.76454656, -122.43182298, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550044.65937060, 4179846.30984604, 37.76457221, -122.43181191, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550047.75161462, 4179849.72072022, 37.76460278, -122.43177657, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550046.01140041, 4179847.31726126, 37.76458122, -122.43179649, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550045.89362264, 4179846.08799972, 37.76457014, -122.43179792, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550046.17068934, 4179846.92469176, 37.76457767, -122.43179471, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550046.45011316, 4179847.37328361, 37.76458170, -122.43179151, 10S
15b7eabf000d6cb24b8bc66faa1503e1, 550046.32205316, 4179847.83696951, 37.76458588, -122.43179293, 10S

517ada09c403e23faf8ea1475722aa89, 550771.75957634, 4180693.19716411, 37.77216495, -122.42349782, 10S
517ada09c403e23faf8ea1475722aa89, 550762.82316658, 4180693.81618396, 37.77217102, -122.42359924, 10S
517ada09c403e23faf8ea1475722aa89, 550749.31904425, 4180693.67130315, 37.77217046, -122.42375258, 10S
517ada09c403e23faf8ea1475722aa89, 550737.69927885, 4180692.26828955, 37.77215846, -122.42388461, 10S
517ada09c403e23faf8ea1475722aa89, 550730.51644121, 4180689.82463183, 37.77213684, -122.42396634, 10S
517ada09c403e23faf8ea1475722aa89, 550711.29317975, 4180678.08631222, 37.77203211, -122.42418543, 10S
517ada09c403e23faf8ea1475722aa89, 550705.18868380, 4180673.54530550, 37.77199152, -122.42425506, 10S
517ada09c403e23faf8ea1475722aa89, 550701.63420295, 4180669.20208618, 37.77195258, -122.42429572, 10S
517ada09c403e23faf8ea1475722aa89, 550699.74142333, 4180667.59070690, 37.77193816, -122.42431732, 10S
517ada09c403e23faf8ea1475722aa89, 550682.64092471, 4180658.46896688, 37.77185689, -122.42451212, 10S
517ada09c403e23faf8ea1475722aa89, 550674.45028389, 4180652.72903106, 37.77180561, -122.42460552, 10S
517ada09c403e23faf8ea1475722aa89, 550668.34508091, 4180646.11605235, 37.77174635, -122.42467530, 10S
517ada09c403e23faf8ea1475722aa89, 550665.47687830, 4180637.25661813, 37.77166666, -122.42470849, 10S
517ada09c403e23faf8ea1475722aa89, 550664.88728585, 4180629.19866532, 37.77159407, -122.42471574, 10S
517ada09c403e23faf8ea1475722aa89, 550670.44804070, 4180615.30469191, 37.77146854, -122.42465358, 10S
517ada09c403e23faf8ea1475722aa89, 550675.47778416, 4180611.57790445, 37.77143467, -122.42459673, 10S
517ada09c403e23faf8ea1475722aa89, 550694.83519402, 4180605.69260877, 37.77138055, -122.42437735, 10S
517ada09c403e23faf8ea1475722aa89, 550702.34012851, 4180605.19735986, 37.77137567, -122.42429218, 10S
517ada09c403e23faf8ea1475722aa89, 550715.21860284, 4180605.47097396, 37.77137743, -122.42414593, 10S
517ada09c403e23faf8ea1475722aa89, 550730.97005587, 4180609.14832868, 37.77140970, -122.42396683, 10S
517ada09c403e23faf8ea1475722aa89, 550745.28921565, 4180617.17982478, 37.77148129, -122.42380369, 10S
517ada09c403e23faf8ea1475722aa89, 550753.64148326, 4180623.85310020, 37.77154097, -122.42370839, 10S
517ada09c403e23faf8ea1475722aa89, 550761.23839419, 4180633.63458191, 37.77162870, -122.42362145, 10S
517ada09c403e23faf8ea1475722aa89, 550770.18337179, 4180643.17088455, 37.77171416, -122.42351922, 10S
517ada09c403e23faf8ea1475722aa89, 550783.68128878, 4180655.86780856, 37.77182784, -122.42336507, 10S
517ada09c403e23faf8ea1475722aa89, 550787.29062283, 4180660.22817792, 37.77186694, -122.42332378, 10S
517ada09c403e23faf8ea1475722aa89, 550795.19681406, 4180676.28404653, 37.77201121, -122.42323289, 10S
517ada09c403e23faf8ea1475722aa89, 550795.68221925, 4180686.68853093, 37.77210495, -122.42322665, 10S
517ada09c403e23faf8ea1475722aa89, 550795.46620044, 4180691.02044245, 37.77214401, -122.42322880, 10S
517ada09c403e23faf8ea1475722aa89, 550789.19362332, 4180696.82594385, 37.77219668, -122.42329962, 10S
517ada09c403e23faf8ea1475722aa89, 550774.07547033, 4180698.38378525, 37.77221156, -122.42347116, 10S
517ada09c403e23faf8ea1475722aa89, 550746.19463005, 4180698.39148560, 37.77221318, -122.42378773, 10S
517ada09c403e23faf8ea1475722aa89, 550739.00381237, 4180697.68018450, 37.77220717, -122.42386942, 10S
517ada09c403e23faf8ea1475722aa89, 550711.08582305, 4180679.80038572, 37.77204757, -122.42418766, 10S
517ada09c403e23faf8ea1475722aa89, 550702.47303182, 4180667.84685026, 37.77194031, -122.42428629, 10S
517ada09c403e23faf8ea1475722aa89, 550698.03119361, 4180654.57046453, 37.77182090, -122.42433765, 10S

dfdca87c24941d57be215fb6b8912959, 549715.25521205, 4179379.46675409, 37.76038261, -122.43558365, 10S
dfdca87c24941d57be215fb6b8912959, 549714.44640287, 4179382.11233799, 37.76040649, -122.43559265, 10S
dfdca87c24941d57be215fb6b8912959, 549711.86159629, 4179385.81238880, 37.76043998, -122.43562174, 10S
dfdca87c24941d57be215fb6b8912959, 549706.66291341, 4179388.37740443, 37.76046338, -122.43568058, 10S
dfdca87c24941d57be215fb6b8912959, 549696.21655295, 4179391.97595896, 37.76049638, -122.43579893, 10S
dfdca87c24941d57be215fb6b8912959, 549685.81049042, 4179392.76249505, 37.76050404, -122.43591701, 10S
dfdca87c24941d57be215fb6b8912959, 549674.81483023, 4179383.74250662, 37.76042334, -122.43604246, 10S
dfdca87c24941d57be215fb6b8912959, 549666.78825858, 4179372.88282568, 37.76032590, -122.43613432, 10S
dfdca87c24941d57be215fb6b8912959, 549664.29193576, 4179370.07006522, 37.76030068, -122.43616285, 10S
dfdca87c24941d57be215fb6b8912959, 549657.20867643, 4179358.96920765, 37.76020102, -122.43624402, 10S
dfdca87c24941d57be215fb6b8912959, 549653.44666892, 4179347.01368349, 37.76009347, -122.43628755, 10S
dfdca87c24941d57be215fb6b8912959, 549652.75276233, 4179324.11212850, 37.75988710, -122.43629699, 10S
dfdca87c24941d57be215fb6b8912959, 549658.28212691, 4179313.11103564, 37.75978765, -122.43623498, 10S
dfdca87c24941d57be215fb6b8912959, 549667.69107725, 4179305.06797027, 37.75971465, -122.43612871, 10S
dfdca87c24941d57be215fb6b8912959, 549670.55840425, 4179304.37131501, 37.75970821, -122.43609621, 10S
dfdca87c24941d57be215fb6b8912959, 549680.08069928, 4179303.35972334, 37.75969858, -122.43598818, 10S
dfdca87c24941d57be215fb6b8912959, 549686.46050013, 4179303.24390048, 37.75969719, -122.43591576, 10S
dfdca87c24941d57be215fb6b8912959, 549699.12813061, 4179311.63103528, 37.75977209, -122.43577138, 10S
dfdca87c24941d57be215fb6b8912959, 549704.32400409, 4179318.08956812, 37.75983002, -122.43571195, 10S
dfdca87c24941d57be215fb6b8912959, 549710.02412072, 4179329.99927695, 37.75993705, -122.43564642, 10S
dfdca87c24941d57be215fb6b8912959, 549713.58368417, 4179340.16299706, 37.76002846, -122.43560532, 10S
dfdca87c24941d57be215fb6b8912959, 549718.75285994, 4179365.66983555, 37.76025807, -122.43554489, 10S
dfdca87c24941d57be215fb6b8912959, 549715.13892428, 4179376.51667131, 37.76035602, -122.43558517, 10S
dfdca87c24941d57be215fb6b8912959, 549703.78472710, 4179385.65200296, 37.76043898, -122.43571345, 10S
dfdca87c24941d57be215fb6b8912959, 549685.34798474, 4179388.13720205, 37.76046238, -122.43592258, 10S
dfdca87c24941d57be215fb6b8912959, 549674.55593809, 4179386.23142554, 37.76044579, -122.43604523, 10S
dfdca87c24941d57be215fb6b8912959, 549670.77606901, 4179380.69503906, 37.76039609, -122.43608851, 10S

5a75346378e55b4e77897bf8f8c9bde1, 549747.29417689, 4179627.89921268, 37.76261994, -122.43520290, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549743.20563897, 4179627.77204342, 37.76261902, -122.43524933, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549728.61183856, 4179614.46065947, 37.76249984, -122.43541592, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549718.64202101, 4179600.27909644, 37.76237257, -122.43553008, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549715.25983806, 4179590.51726464, 37.76228477, -122.43556914, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549715.01085720, 4179583.51168589, 37.76222164, -122.43557245, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549718.09878114, 4179580.35949426, 37.76219306, -122.43553761, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549720.70863605, 4179579.91779374, 37.76218894, -122.43550801, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549729.42919859, 4179579.61248674, 37.76218571, -122.43540903, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549736.46740179, 4179579.81980617, 37.76218720, -122.43532911, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549742.72670120, 4179580.44568200, 37.76219250, -122.43525801, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549751.37212543, 4179589.45149013, 37.76227320, -122.43515924, 10S
5a75346378e55b4e77897bf8f8c9bde1, 549756.32486420, 4179598.01294622, 37.76235009, -122.43510243, 10S
