dataId, x, y, latitude, longitude, zone
c9cc9702902f20218fa5aa9b4f976901, 551190.48993562, 4182468.71003421, 37.78814388, -122.41861813, 10S
c9cc9702902f20218fa5aa9b4f976901, 551190.59683748, 4182463.97447301, 37.78810120, -122.41861725, 10S
c9cc9702902f20218fa5aa9b4f976901, 551179.53916471, 4182418.05769714, 37.78768798, -122.41874607, 10S
c9cc9702902f20218fa5aa9b4f976901, 551177.31361958, 4182376.71446391, 37.78731549, -122.41877426, 10S
c9cc9702902f20218fa5aa9b4f976901, 551186.68986198, 4182353.56241098, 37.78710630, -122.41866941, 10S
c9cc9702902f20218fa5aa9b4f976901, 551198.21860741, 4182335.22281069, 37.78694036, -122.41853978, 10S
c9cc9702902f20218fa5aa9b4f976901, 551214.39515420, 4182305.26029207, 37.78666941, -122.41835819, 10S
c9cc9702902f20218fa5aa9b4f976901, 551221.72206297, 4182286.94167469, 37.78650390, -122.41827628, 10S
c9cc9702902f20218fa5aa9b4f976901, 551224.03713605, 4182284.45172694, 37.78648133, -122.41825016, 10S
c9cc9702902f20218fa5aa9b4f976901, 551226.09904297, 4182275.37177311, 37.78639938, -122.41822739, 10S
c9cc9702902f20218fa5aa9b4f976901, 551233.25496580, 4182264.09533497, 37.78629734, -122.41814692, 10S
c9cc9702902f20218fa5aa9b4f976901, 551233.43974586, 4182259.61936251, 37.78625699, -122.41814514, 10S
c9cc9702902f20218fa5aa9b4f976901, 551235.65604357, 4182252.56055886, 37.78619325, -122.41812047, 10S
c9cc9702902f20218fa5aa9b4f976901, 551240.26455108, 4182245.64436110, 37.78613065, -122.41806862, 10S
c9cc9702902f20218fa5aa9b4f976901, 551251.68945484, 4182236.35878731, 37.78604632, -122.41793953, 10S
c9cc9702902f20218fa5aa9b4f976901, 551258.89915199, 4182236.24673573, 37.78604491, -122.41785766, 10S
c9cc9702902f20218fa5aa9b4f976901, 551263.19519044, 4182238.65607973, 37.78606638, -122.41780870, 10S
c9cc9702902f20218fa5aa9b4f976901, 551267.56003092, 4182243.42172166, 37.78610909, -122.41775880, 10S
c9cc9702902f20218fa5aa9b4f976901, 551281.39986530, 4182250.41858053, 37.78617138, -122.41760113, 10S
c9cc9702902f20218fa5aa9b4f976901, 551302.22196490, 4182255.21496406, 37.78621343, -122.41736433, 10S
c9cc9702902f20218fa5aa9b4f976901, 551325.05657817, 4182266.85196554, 37.78631703, -122.41710419, 10S
c9cc9702902f20218fa5aa9b4f976901, 551340.91927884, 4182278.37378185, 37.78641999, -122.41692323, 10S
c9cc9702902f20218fa5aa9b4f976901, 551352.75016180, 4182283.02664171, 37.78646126, -122.41678854, 10S
c9cc9702902f20218fa5aa9b4f976901, 551373.11539279, 4182299.21660909, 37.78660603, -122.41655612, 10S
c9cc9702902f20218fa5aa9b4f976901, 551382.12909624, 4182310.66419878, 37.78670869, -122.41645294, 10S
c9cc9702902f20218fa5aa9b4f976901, 551389.24990680, 4182329.22361111, 37.78687557, -122.41637076, 10S
