dataId, x, y, latitude, longitude, zone
150cd0492912b52983e1be69e285fbbe, 550744.08156446, 4180654.61214351, 37.77181872, -122.42381478, 10S
150cd0492912b52983e1be69e285fbbe, 550751.67438119, 4180649.30586039, 37.77177048, -122.42372894, 10S
150cd0492912b52983e1be69e285fbbe, 550748.00532389, 4180647.89053376, 37.77175792, -122.42377070, 10S
150cd0492912b52983e1be69e285fbbe, 550738.78728529, 4180659.59965473, 37.77186397, -122.42387455, 10S
150cd0492912b52983e1be69e285fbbe, 550732.09776206, 4180662.09616673, 37.77188684, -122.42395033, 10S
150cd0492912b52983e1be69e285fbbe, 550750.91507775, 4180643.93483513, 37.77172211, -122.42373794, 10S
150cd0492912b52983e1be69e285fbbe, 550751.24574950, 4180642.69520477, 37.77171092, -122.42373427, 10S
150cd0492912b52983e1be69e285fbbe, 550740.68990413, 4180663.43546313, 37.77189843, -122.42385267, 10S
150cd0492912b52983e1be69e285fbbe, 550724.61465998, 4180667.45390520, 37.77193554, -122.42403492, 10S

2d84e8b4e14a40c94883706968976ae0, 550742.38094380, 4180689.48525631, 37.77213312, -122.42383165, 10S
2d84e8b4e14a40c94883706968976ae0, 550731.26917865, 4180689.38926476, 37.77213287, -122.42395782, 10S
2d84e8b4e14a40c94883706968976ae0, 550721.90493616, 4180685.49476555, 37.77209829, -122.42406442, 10S
2d84e8b4e14a40c94883706968976ae0, 550711.36113632, 4180676.66349247, 37.77201928, -122.42418476, 10S
2d84e8b4e14a40c94883706968976ae0, 550707.10713578, 4180670.23151401, 37.77196155, -122.42423351, 10S
2d84e8b4e14a40c94883706968976ae0, 550704.82321697, 4180662.10393908, 37.77188842, -122.42426001, 10S
2d84e8b4e14a40c94883706968976ae0, 550703.57881698, 4180654.28182203, 37.77181799, -122.42427468, 10S
2d84e8b4e14a40c94883706968976ae0, 550703.93052529, 4180645.49883554, 37.77173882, -122.42427130, 10S
2d84e8b4e14a40c94883706968976ae0, 550704.93962555, 4180639.08049504, 37.77168091, -122.42426029, 10S
2d84e8b4e14a40c94883706968976ae0, 550707.83622140, 4180633.50559371, 37.77163051, -122.42422779, 10S
2d84e8b4e14a40c94883706968976ae0, 550714.93821798, 4180628.84314902, 37.77158809, -122.42414748, 10S
2d84e8b4e14a40c94883706968976ae0, 550730.98666826, 4180628.13988706, 37.77158086, -122.42396532, 10S
2d84e8b4e14a40c94883706968976ae0, 550741.20766349, 4180628.19252611, 37.77158077, -122.42384926, 10S
2d84e8b4e14a40c94883706968976ae0, 550745.78055515, 4180630.74990485, 37.77160356, -122.42379716, 10S
2d84e8b4e14a40c94883706968976ae0, 550756.29624208, 4180639.43367336, 37.77168124, -122.42367716, 10S
2d84e8b4e14a40c94883706968976ae0, 550761.85549241, 4180647.41931174, 37.77175291, -122.42361348, 10S
2d84e8b4e14a40c94883706968976ae0, 550763.86425226, 4180655.50724625, 37.77182569, -122.42359010, 10S
2d84e8b4e14a40c94883706968976ae0, 550764.82827175, 4180664.13617693, 37.77190341, -122.42357855, 10S
2d84e8b4e14a40c94883706968976ae0, 550765.00133698, 4180672.09265782, 37.77197511, -122.42357603, 10S
2d84e8b4e14a40c94883706968976ae0, 550762.47292754, 4180682.27295583, 37.77206700, -122.42360403, 10S
2d84e8b4e14a40c94883706968976ae0, 550757.66364288, 4180686.37883827, 37.77210428, -122.42365835, 10S
2d84e8b4e14a40c94883706968976ae0, 550753.60460113, 4180688.64681003, 37.77212494, -122.42370427, 10S
2d84e8b4e14a40c94883706968976ae0, 550743.43069772, 4180692.73436968, 37.77216235, -122.42381951, 10S
2d84e8b4e14a40c94883706968976ae0, 550735.55141451, 4180693.30052695, 37.77216789, -122.42390893, 10S

10900d1a34d18db7fe49040f24686183, 552620.92810843, 4181523.72924572, 37.77954574, -122.40244170, 10S
10900d1a34d18db7fe49040f24686183, 552620.16730093, 4181520.66110633, 37.77951813, -122.40245056, 10S
10900d1a34d18db7fe49040f24686183, 552588.26881275, 4181494.45751241, 37.77928380, -122.40281468, 10S
10900d1a34d18db7fe49040f24686183, 552582.68335743, 4181491.39757044, 37.77925654, -122.40287833, 10S
10900d1a34d18db7fe49040f24686183, 552569.50891784, 4181478.89681573, 37.77914463, -122.40302883, 10S
10900d1a34d18db7fe49040f24686183, 552561.73595550, 4181472.99384497, 37.77909188, -122.40311752, 10S
10900d1a34d18db7fe49040f24686183, 552557.64230101, 4181468.22264931, 37.77904911, -122.40316435, 10S
10900d1a34d18db7fe49040f24686183, 552535.30275057, 4181452.90126081, 37.77891231, -122.40341914, 10S
10900d1a34d18db7fe49040f24686183, 552512.32056761, 4181435.59331666, 37.77875764, -122.40368136, 10S
10900d1a34d18db7fe49040f24686183, 552497.00894810, 4181422.92902616, 37.77864438, -122.40385614, 10S
10900d1a34d18db7fe49040f24686183, 552492.37948658, 4181418.16598325, 37.77860171, -122.40390905, 10S
10900d1a34d18db7fe49040f24686183, 552469.15187421, 4181398.61812762, 37.77842687, -122.40417422, 10S
10900d1a34d18db7fe49040f24686183, 552459.61590629, 4181387.78996956, 37.77832982, -122.40428329, 10S
10900d1a34d18db7fe49040f24686183, 552451.66196657, 4181377.38138468, 37.77823647, -122.40437436, 10S
10900d1a34d18db7fe49040f24686183, 552436.05909594, 4181353.36617384, 37.77802092, -122.40455327, 10S
10900d1a34d18db7fe49040f24686183, 552432.43578570, 4181344.55628063, 37.77794173, -122.40459505, 10S
10900d1a34d18db7fe49040f24686183, 552432.73210647, 4181326.21763569, 37.77777643, -122.40459301, 10S
